"Day","Hour","Season","ExamPeriod","LowSalesPeriod","DrinksSold","Size.Mean","Content.Espresso","Content.Drip","Content.Water","Content.Tea","Content.Milk","Content.SpecialtyMilk","Content.Chocolate","Content.Seasonal","Content.Juice","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Trait.Froth","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
2016-09-01,10,"Fall",FALSE,FALSE,8,281,6,0,2,3,6,0,1,0,0,0,1,0,7,20.5,12.6,60,16,100.94,TRUE,FALSE,FALSE,FALSE
2016-09-01,11,"Fall",FALSE,FALSE,7,253,5,0,1,1,5,1,0,0,0,0,0,0,6,20.4,12.2,59,24,100.94,TRUE,FALSE,FALSE,FALSE
2016-09-01,12,"Fall",FALSE,FALSE,4,296,2,1,1,1,3,0,0,0,0,1,0,1,4,21.5,12.2,55,16,100.92,TRUE,FALSE,FALSE,FALSE
2016-09-01,13,"Fall",FALSE,FALSE,7,233,6,1,1,0,3,1,0,0,0,0,0,1,6,21,14,64,29,100.92,FALSE,FALSE,FALSE,FALSE
2016-09-01,14,"Fall",FALSE,FALSE,13,260,9,4,0,0,5,2,1,0,0,1,0,4,13,21.1,13.2,60,27,100.93,FALSE,FALSE,FALSE,FALSE
2016-09-01,15,"Fall",FALSE,FALSE,6,154,3,1,0,0,2,0,1,0,0,0,1,1,5,21.9,13.1,57,7,100.91,FALSE,FALSE,FALSE,FALSE
2016-09-01,17,"Fall",FALSE,FALSE,3,434,0,0,2,3,0,1,0,0,0,1,1,0,3,21.2,13.2,60,14,100.93,TRUE,FALSE,FALSE,FALSE
2016-09-01,18,"Fall",FALSE,FALSE,3,394,1,1,1,1,1,0,0,0,0,0,0,1,3,21.5,13.3,59,12,100.97,TRUE,FALSE,FALSE,FALSE
2016-09-01,19,"Fall",FALSE,FALSE,4,384,1,1,1,2,1,1,0,0,0,1,1,1,3,20.7,14.5,67,25,101.03,FALSE,FALSE,TRUE,FALSE
2016-09-01,7,"Fall",FALSE,FALSE,4,296,4,0,0,0,3,1,0,0,0,0,0,0,4,16.7,11.9,73,20,100.89,TRUE,FALSE,FALSE,FALSE
2016-09-01,8,"Fall",FALSE,FALSE,11,301,7,3,2,0,6,0,0,0,0,0,0,3,11,18,12.5,70,19,100.9,TRUE,FALSE,FALSE,FALSE
2016-09-01,9,"Fall",FALSE,FALSE,21,250,18,1,2,1,11,4,1,0,0,0,0,1,19,19.2,12.1,63,21,100.91,TRUE,FALSE,FALSE,FALSE
2016-09-02,10,"Fall",FALSE,FALSE,19,294,12,6,2,3,8,2,0,0,0,0,3,6,18,18.3,9.5,56,18,101.77,TRUE,FALSE,FALSE,FALSE
2016-09-02,11,"Fall",FALSE,FALSE,12,279,9,2,2,1,7,0,0,0,0,2,0,2,10,19.2,9.5,53,11,101.76,TRUE,FALSE,FALSE,FALSE
2016-09-02,12,"Fall",FALSE,FALSE,8,270,3,2,1,1,4,0,0,0,0,1,0,2,7,20.1,10.9,55,9,101.74,TRUE,FALSE,FALSE,FALSE
2016-09-02,13,"Fall",FALSE,FALSE,10,228,8,1,3,1,5,0,2,0,0,2,1,1,9,19.9,10.4,54,12,101.72,FALSE,FALSE,FALSE,FALSE
2016-09-02,14,"Fall",FALSE,FALSE,12,239,9,2,1,1,7,1,0,0,0,0,1,2,11,20.1,10.9,55,9,101.71,FALSE,FALSE,FALSE,FALSE
2016-09-02,15,"Fall",FALSE,FALSE,7,321,0,3,1,2,1,2,0,0,0,0,1,3,6,20.8,10.4,51,11,101.71,FALSE,FALSE,FALSE,FALSE
2016-09-02,16,"Fall",FALSE,FALSE,5,355,1,1,2,3,2,0,0,0,0,0,1,1,4,20.9,11.1,53,14,101.71,FALSE,FALSE,FALSE,FALSE
2016-09-02,7,"Fall",FALSE,FALSE,3,315,2,1,0,0,2,0,0,0,0,1,0,1,3,15.1,9.1,67,10,101.68,TRUE,FALSE,FALSE,FALSE
2016-09-02,8,"Fall",FALSE,FALSE,8,296,6,1,2,1,5,0,0,0,0,0,0,1,7,16.2,9.5,64,15,101.73,TRUE,FALSE,FALSE,FALSE
2016-09-02,9,"Fall",FALSE,FALSE,16,253,13,0,0,1,14,1,0,0,0,0,1,0,12,17.1,9.4,60,16,101.73,TRUE,FALSE,FALSE,FALSE
2016-09-03,10,"Fall",FALSE,FALSE,25,270,20,3,6,1,12,2,0,0,0,1,0,3,23,19,10.4,57,1,102.08,TRUE,FALSE,FALSE,FALSE
2016-09-03,11,"Fall",FALSE,FALSE,20,331,10,5,6,4,6,1,0,0,2,3,0,5,18,19.7,11.3,58,6,102.05,TRUE,FALSE,FALSE,FALSE
2016-09-03,12,"Fall",FALSE,FALSE,19,246,18,0,1,1,16,0,2,0,0,0,1,2,13,20.4,10.6,53,8,102.04,TRUE,FALSE,FALSE,FALSE
2016-09-03,13,"Fall",FALSE,FALSE,13,314,10,0,3,2,9,0,1,0,1,3,0,0,10,21.2,11.1,52,14,102.02,TRUE,FALSE,FALSE,FALSE
2016-09-03,14,"Fall",FALSE,FALSE,6,281,3,0,2,2,2,1,0,0,0,0,0,0,3,21.5,12.2,55,3,101.97,TRUE,FALSE,FALSE,FALSE
2016-09-03,15,"Fall",FALSE,FALSE,9,309,6,0,3,2,4,1,1,0,1,2,2,0,6,21.8,11.9,53,10,101.92,TRUE,FALSE,FALSE,FALSE
2016-09-03,16,"Fall",FALSE,FALSE,7,212,5,2,0,1,2,1,0,0,0,0,1,2,6,21.9,12.6,55,11,101.88,TRUE,FALSE,FALSE,FALSE
2016-09-03,17,"Fall",FALSE,FALSE,8,218,3,1,0,3,6,0,0,0,0,0,1,1,6,21.5,11.9,54,13,101.87,TRUE,FALSE,FALSE,FALSE
2016-09-03,18,"Fall",FALSE,FALSE,2,177,1,1,1,0,0,0,0,0,0,0,0,1,2,20.7,11.7,56,11,101.85,TRUE,FALSE,FALSE,FALSE
2016-09-03,20,"Fall",FALSE,FALSE,3,276,3,0,1,0,3,0,0,0,0,0,0,0,3,18.1,11.5,65,2,101.91,TRUE,FALSE,FALSE,FALSE
2016-09-03,9,"Fall",FALSE,FALSE,4,237,4,1,0,0,3,0,0,0,0,0,0,1,4,17.7,10.7,63,4,102.08,TRUE,FALSE,FALSE,FALSE
2016-09-04,10,"Fall",FALSE,FALSE,24,276,18,5,1,1,15,1,1,0,0,1,0,5,20,21.6,13.4,59,1,102.18,TRUE,FALSE,FALSE,FALSE
2016-09-04,11,"Fall",FALSE,FALSE,26,263,17,5,1,2,17,0,3,0,0,2,0,5,24,22.4,13.3,56,8,102.15,TRUE,FALSE,FALSE,FALSE
2016-09-04,12,"Fall",FALSE,FALSE,16,266,11,5,3,0,8,0,1,0,0,0,0,5,16,23.1,11.3,47,3,102.12,TRUE,FALSE,FALSE,FALSE
2016-09-04,13,"Fall",FALSE,FALSE,14,239,9,4,0,1,6,3,2,0,0,2,0,4,12,23.8,11,44,2,102.09,FALSE,FALSE,FALSE,FALSE
2016-09-04,14,"Fall",FALSE,FALSE,18,298,16,2,1,1,12,2,2,0,0,3,1,2,17,24.6,12.7,47,12,102.03,FALSE,FALSE,FALSE,FALSE
2016-09-04,15,"Fall",FALSE,FALSE,11,250,11,0,0,0,9,1,3,0,0,5,0,0,9,24.2,10.7,42,11,102,FALSE,FALSE,FALSE,FALSE
2016-09-04,16,"Fall",FALSE,FALSE,8,296,5,2,4,1,2,0,0,0,0,1,0,2,8,24.5,7.8,34,9,101.97,TRUE,FALSE,FALSE,FALSE
2016-09-04,17,"Fall",FALSE,FALSE,3,355,1,1,1,1,0,1,1,0,0,0,0,1,3,24.3,10.8,42,4,101.93,TRUE,FALSE,FALSE,FALSE
2016-09-04,18,"Fall",FALSE,FALSE,5,118,5,0,1,0,4,0,0,0,0,0,0,0,5,22.6,11.8,50,9,101.93,TRUE,FALSE,FALSE,FALSE
2016-09-04,19,"Fall",FALSE,FALSE,2,237,2,0,0,0,2,0,0,0,0,0,0,0,2,22.5,13.4,56,8,101.94,TRUE,FALSE,FALSE,FALSE
2016-09-04,20,"Fall",FALSE,FALSE,2,296,2,0,0,1,2,0,0,0,0,1,1,0,2,22,13,56,2,101.96,TRUE,FALSE,FALSE,FALSE
2016-09-04,8,"Fall",FALSE,FALSE,2,237,2,0,0,0,2,0,0,0,0,0,0,0,2,18.1,13.9,76,2,102.18,TRUE,FALSE,FALSE,FALSE
2016-09-04,9,"Fall",FALSE,FALSE,16,311,9,2,6,4,7,1,0,0,0,0,0,2,15,20,13.6,66,3,102.18,TRUE,FALSE,FALSE,FALSE
2016-09-05,10,"Fall",FALSE,FALSE,14,266,10,3,2,1,9,0,0,0,0,2,1,3,11,22.8,15.8,64,9,102.01,TRUE,FALSE,FALSE,FALSE
2016-09-05,11,"Fall",FALSE,FALSE,20,296,9,5,4,2,9,2,0,0,0,6,1,5,18,24.1,17.2,65,7,101.96,TRUE,FALSE,FALSE,FALSE
2016-09-05,12,"Fall",FALSE,FALSE,18,309,13,3,4,3,9,2,0,0,0,4,1,3,18,25.1,14.7,52,9,101.87,TRUE,FALSE,FALSE,FALSE
2016-09-05,13,"Fall",FALSE,FALSE,14,338,10,1,6,3,7,0,0,0,0,4,0,1,14,25.8,15.4,52,9,101.79,TRUE,FALSE,FALSE,FALSE
2016-09-05,14,"Fall",FALSE,FALSE,14,294,10,1,2,3,8,1,1,0,1,5,3,1,12,26.1,15.4,51,7,101.73,TRUE,FALSE,FALSE,FALSE
2016-09-05,15,"Fall",FALSE,FALSE,10,287,7,0,3,0,6,0,4,0,0,6,1,0,9,26.4,14.4,47,10,101.65,TRUE,FALSE,FALSE,FALSE
2016-09-05,16,"Fall",FALSE,FALSE,7,296,4,0,3,3,4,0,1,0,0,2,0,0,6,26.2,15.5,51,13,101.6,TRUE,FALSE,FALSE,FALSE
2016-09-05,17,"Fall",FALSE,FALSE,3,208,2,0,0,0,2,0,0,0,0,0,0,0,3,26,12.7,43,7,101.59,TRUE,FALSE,FALSE,FALSE
2016-09-05,18,"Fall",FALSE,FALSE,5,260,2,3,1,0,1,0,0,0,0,1,0,3,4,25.4,15,52,7,101.53,TRUE,FALSE,FALSE,FALSE
2016-09-05,19,"Fall",FALSE,FALSE,4,281,1,2,0,1,2,0,0,0,0,0,1,2,2,24.1,15.7,59,9,101.56,TRUE,FALSE,FALSE,FALSE
2016-09-05,20,"Fall",FALSE,FALSE,2,135,2,0,0,0,1,0,0,0,0,0,0,0,2,22.1,15.3,65,4,101.6,TRUE,FALSE,FALSE,FALSE
2016-09-05,21,"Fall",FALSE,FALSE,3,355,3,0,0,0,3,0,1,0,0,3,0,0,3,22.3,15.8,66,3,101.56,TRUE,FALSE,FALSE,FALSE
2016-09-05,8,"Fall",FALSE,FALSE,1,355,1,0,0,0,1,0,0,0,0,0,0,0,1,19.4,14.5,73,4,102.06,TRUE,FALSE,FALSE,FALSE
2016-09-05,9,"Fall",FALSE,FALSE,13,291,8,4,3,1,4,2,0,0,0,4,1,4,12,21.2,15.6,70,3,102.04,TRUE,FALSE,FALSE,FALSE
2016-09-06,10,"Fall",FALSE,FALSE,15,292,11,2,3,1,7,3,0,0,0,0,1,2,14,24.2,16.8,63,6,101.53,TRUE,FALSE,FALSE,FALSE
2016-09-06,11,"Fall",FALSE,FALSE,12,256,8,2,5,2,6,0,0,0,0,1,0,2,12,24.8,16.1,58,8,101.49,TRUE,FALSE,FALSE,FALSE
2016-09-06,12,"Fall",FALSE,FALSE,19,318,13,4,2,2,11,2,0,0,0,2,1,4,17,26,17,57,8,101.52,TRUE,FALSE,FALSE,FALSE
2016-09-06,13,"Fall",FALSE,FALSE,7,313,5,1,1,3,5,0,1,0,0,1,2,1,6,27,14.9,47,10,101.49,TRUE,FALSE,FALSE,FALSE
2016-09-06,14,"Fall",FALSE,FALSE,5,308,2,1,1,2,4,0,0,0,0,1,1,1,4,27.7,14.6,44,10,101.4,TRUE,FALSE,FALSE,FALSE
2016-09-06,15,"Fall",FALSE,FALSE,13,278,5,2,5,2,4,0,1,0,3,5,0,2,13,27.5,14.7,45,10,101.37,TRUE,FALSE,FALSE,FALSE
2016-09-06,16,"Fall",FALSE,FALSE,5,319,3,0,2,1,0,2,0,0,1,2,0,0,5,27.2,14.5,45,12,101.35,TRUE,FALSE,FALSE,FALSE
2016-09-06,17,"Fall",FALSE,FALSE,5,379,3,0,3,2,2,0,1,0,0,1,0,0,5,26.5,16.3,53,9,101.31,TRUE,FALSE,FALSE,FALSE
2016-09-06,18,"Fall",FALSE,FALSE,3,276,2,0,1,0,1,1,1,0,0,0,1,0,1,24.8,15,54,7,101.3,TRUE,FALSE,FALSE,FALSE
2016-09-06,19,"Fall",FALSE,FALSE,9,302,4,1,2,3,3,3,1,0,0,2,2,1,7,24.4,16,59,7,101.33,TRUE,FALSE,FALSE,FALSE
2016-09-06,7,"Fall",FALSE,FALSE,1,237,1,0,0,0,1,0,0,0,0,0,0,0,1,18.5,16.2,86,5,101.59,TRUE,FALSE,FALSE,FALSE
2016-09-06,8,"Fall",FALSE,FALSE,6,222,5,1,1,0,3,0,0,0,0,0,0,1,6,19.8,17.4,86,4,101.6,TRUE,FALSE,FALSE,FALSE
2016-09-06,9,"Fall",FALSE,FALSE,17,301,13,1,3,3,12,1,0,0,0,0,1,1,15,21.9,17.8,77,3,101.56,TRUE,FALSE,FALSE,FALSE
2016-09-07,10,"Fall",FALSE,FALSE,7,321,6,0,1,1,5,1,0,0,0,1,0,0,7,25.4,18.5,65,7,101.25,FALSE,FALSE,FALSE,FALSE
2016-09-07,11,"Fall",FALSE,FALSE,11,304,10,2,0,0,7,1,0,0,0,1,0,2,10,26.2,18.7,63,9,101.2,FALSE,FALSE,FALSE,FALSE
2016-09-07,12,"Fall",FALSE,FALSE,10,343,8,1,1,1,6,2,2,0,0,2,0,2,10,27.5,18.4,57,13,101.18,FALSE,FALSE,FALSE,FALSE
2016-09-07,13,"Fall",FALSE,FALSE,10,296,6,1,1,3,6,1,0,0,1,4,1,1,9,28.3,19.2,57,16,101.12,TRUE,FALSE,FALSE,FALSE
2016-09-07,14,"Fall",FALSE,FALSE,5,379,2,1,3,3,1,0,0,0,0,2,1,1,5,28.5,19.9,59,2,100.99,TRUE,FALSE,FALSE,FALSE
2016-09-07,15,"Fall",FALSE,FALSE,14,283,7,2,5,3,5,2,0,0,1,4,1,2,14,29.3,19.5,55,10,100.98,TRUE,FALSE,FALSE,FALSE
2016-09-07,16,"Fall",FALSE,FALSE,7,253,7,0,2,0,4,1,1,0,0,2,0,0,5,28.5,18.8,55,13,100.93,FALSE,FALSE,FALSE,FALSE
2016-09-07,17,"Fall",FALSE,FALSE,3,355,2,0,1,1,2,0,0,0,0,0,0,0,2,28,18.3,55,14,100.9,FALSE,FALSE,FALSE,FALSE
2016-09-07,18,"Fall",FALSE,FALSE,4,355,1,0,0,1,3,1,0,0,0,0,1,0,3,27.8,17.5,53,10,100.9,FALSE,FALSE,FALSE,FALSE
2016-09-07,19,"Fall",FALSE,FALSE,1,355,0,0,0,1,1,0,0,0,0,0,1,0,0,27.6,17.4,53,7,100.91,FALSE,FALSE,FALSE,FALSE
2016-09-07,20,"Fall",FALSE,FALSE,2,194,2,0,1,0,0,0,0,0,0,0,0,0,2,25.8,18.4,63,18,100.93,FALSE,FALSE,TRUE,FALSE
2016-09-07,7,"Fall",FALSE,FALSE,5,284,4,0,0,0,4,1,1,0,0,0,0,0,4,19.4,16.3,82,13,101.29,TRUE,FALSE,FALSE,FALSE
2016-09-07,8,"Fall",FALSE,FALSE,8,325,6,0,1,1,7,0,0,0,0,0,0,0,7,21.5,16.8,74,8,101.3,TRUE,FALSE,FALSE,FALSE
2016-09-07,9,"Fall",FALSE,FALSE,11,290,9,2,0,0,9,0,1,0,0,3,0,2,10,23.3,18.1,72,8,101.27,TRUE,FALSE,FALSE,FALSE
2016-09-08,10,"Fall",FALSE,FALSE,6,315,4,0,3,1,3,0,0,0,0,0,0,0,4,24,20.6,81,12,100.49,FALSE,FALSE,FALSE,FALSE
2016-09-08,11,"Fall",FALSE,FALSE,17,271,12,3,1,2,9,4,2,0,0,0,2,3,13,25.2,21.2,78,8,100.44,FALSE,FALSE,FALSE,FALSE
2016-09-08,12,"Fall",FALSE,FALSE,13,318,9,3,0,3,8,2,0,0,0,5,2,3,12,24.8,21,79,10,100.36,FALSE,FALSE,FALSE,FALSE
2016-09-08,13,"Fall",FALSE,FALSE,10,308,5,3,2,1,5,0,0,0,0,1,0,3,10,25.3,21.3,78,9,100.27,FALSE,FALSE,FALSE,FALSE
2016-09-08,14,"Fall",FALSE,FALSE,5,243,5,0,0,0,2,2,1,0,0,0,0,0,5,24.4,21.8,85,10,100.17,FALSE,FALSE,TRUE,FALSE
2016-09-08,15,"Fall",FALSE,FALSE,5,308,2,1,2,2,4,0,1,0,0,0,0,1,5,23.8,21.9,89,9,100.05,FALSE,FALSE,TRUE,FALSE
2016-09-08,16,"Fall",FALSE,FALSE,4,325,1,3,0,0,1,0,0,0,0,0,0,3,4,24.4,22.1,87,4,100.01,FALSE,TRUE,TRUE,FALSE
2016-09-08,17,"Fall",FALSE,FALSE,5,379,2,0,4,3,1,0,0,0,0,0,0,0,5,24.6,22.5,88,8,99.97,FALSE,FALSE,TRUE,FALSE
2016-09-08,18,"Fall",FALSE,FALSE,3,237,3,0,0,0,3,0,1,0,0,0,0,0,3,24.6,23.8,95,13,100,FALSE,FALSE,TRUE,FALSE
2016-09-08,19,"Fall",FALSE,FALSE,6,315,4,1,1,1,4,0,1,0,0,0,0,1,5,24.5,23.3,93,9,100.04,FALSE,FALSE,FALSE,FALSE
2016-09-08,20,"Fall",FALSE,FALSE,4,444,1,0,3,4,1,0,0,0,0,0,1,0,4,24.1,23.3,95,11,100.05,FALSE,FALSE,FALSE,FALSE
2016-09-08,7,"Fall",FALSE,FALSE,3,315,2,1,0,0,0,2,0,0,0,0,0,1,2,21.7,20.7,94,13,100.62,FALSE,FALSE,FALSE,FALSE
2016-09-08,8,"Fall",FALSE,FALSE,7,253,5,1,1,0,4,1,0,0,0,0,0,1,3,22.3,20.3,88,11,100.56,FALSE,FALSE,FALSE,FALSE
2016-09-08,9,"Fall",FALSE,FALSE,6,296,4,2,1,0,3,0,0,0,0,0,0,2,6,22.5,20.1,86,13,100.53,FALSE,FALSE,FALSE,FALSE
2016-09-09,10,"Fall",FALSE,FALSE,11,333,6,4,0,0,5,2,0,0,0,0,0,4,10,24.1,17.2,65,23,100.69,TRUE,FALSE,FALSE,FALSE
2016-09-09,11,"Fall",FALSE,FALSE,5,260,4,0,2,1,3,0,0,0,0,0,0,0,5,24.9,17.3,62,27,100.7,TRUE,FALSE,FALSE,FALSE
2016-09-09,12,"Fall",FALSE,FALSE,9,329,4,3,1,1,5,0,0,0,0,3,0,3,8,25.7,16.2,55,27,100.71,TRUE,FALSE,FALSE,FALSE
2016-09-09,13,"Fall",FALSE,FALSE,12,355,8,2,2,2,6,2,2,0,0,1,1,2,11,26,17.3,58,16,100.7,TRUE,FALSE,FALSE,FALSE
2016-09-09,14,"Fall",FALSE,FALSE,12,286,5,4,5,3,3,1,0,0,0,2,0,4,12,26.7,16.5,53,23,100.72,TRUE,FALSE,FALSE,FALSE
2016-09-09,15,"Fall",FALSE,FALSE,10,302,7,0,2,2,6,1,0,0,1,2,1,0,9,26.9,16.7,53,15,100.74,TRUE,FALSE,FALSE,FALSE
2016-09-09,16,"Fall",FALSE,FALSE,6,158,4,0,1,0,5,0,0,0,0,0,0,0,4,26.8,15.7,50,18,100.77,TRUE,FALSE,FALSE,FALSE
2016-09-09,17,"Fall",FALSE,FALSE,8,296,4,3,1,1,3,1,0,0,0,3,0,3,8,26.1,15.4,51,19,100.81,TRUE,FALSE,FALSE,FALSE
2016-09-09,18,"Fall",FALSE,FALSE,4,251,3,1,0,0,3,0,0,0,0,1,0,1,3,24.7,15.8,57,14,100.86,TRUE,FALSE,FALSE,FALSE
2016-09-09,19,"Fall",FALSE,FALSE,3,394,1,0,1,1,1,1,1,0,0,0,1,0,2,23.5,15.2,59,8,100.95,TRUE,FALSE,FALSE,FALSE
2016-09-09,7,"Fall",FALSE,FALSE,8,325,8,0,1,0,5,2,1,0,0,0,0,0,8,21.6,18.5,82,22,100.56,TRUE,FALSE,FALSE,FALSE
2016-09-09,8,"Fall",FALSE,FALSE,8,296,6,0,2,1,6,0,0,0,0,0,0,0,7,22.1,18.7,81,21,100.64,TRUE,FALSE,FALSE,FALSE
2016-09-09,9,"Fall",FALSE,FALSE,9,289,8,1,1,0,7,0,0,0,0,1,0,1,8,23.3,17.6,70,22,100.66,TRUE,FALSE,FALSE,FALSE
2016-09-10,10,"Fall",FALSE,FALSE,15,270,13,1,4,1,9,0,1,0,0,0,0,1,13,24.7,17.1,62,14,101,FALSE,FALSE,FALSE,FALSE
2016-09-10,11,"Fall",FALSE,FALSE,16,329,8,3,3,3,9,0,3,0,1,1,1,3,14,25.7,18.3,63,18,100.92,FALSE,FALSE,FALSE,FALSE
2016-09-10,12,"Fall",FALSE,FALSE,18,273,14,3,3,0,9,3,0,0,0,3,0,3,16,27.3,18.8,59,27,100.82,FALSE,FALSE,FALSE,FALSE
2016-09-10,13,"Fall",FALSE,FALSE,12,296,9,1,4,2,6,1,1,0,0,3,0,1,10,26.7,17.9,58,24,100.76,FALSE,FALSE,FALSE,FALSE
2016-09-10,14,"Fall",FALSE,FALSE,14,304,9,0,3,5,10,1,1,0,0,2,1,0,10,26.3,18.1,60,27,100.64,FALSE,FALSE,FALSE,FALSE
2016-09-10,15,"Fall",FALSE,FALSE,11,261,7,2,3,2,4,1,0,0,0,0,0,2,9,26.3,18.3,61,33,100.53,FALSE,FALSE,FALSE,FALSE
2016-09-10,16,"Fall",FALSE,FALSE,10,272,8,2,2,0,7,0,0,0,0,0,0,2,8,24.8,19.5,72,28,100.51,FALSE,FALSE,FALSE,FALSE
2016-09-10,17,"Fall",FALSE,FALSE,6,296,4,1,2,1,2,1,0,0,0,0,0,1,5,25.6,19.1,67,36,100.37,FALSE,FALSE,FALSE,FALSE
2016-09-10,18,"Fall",FALSE,FALSE,4,207,3,0,1,1,3,0,1,0,0,0,1,0,2,24.7,19,70,31,100.32,FALSE,FALSE,FALSE,FALSE
2016-09-10,20,"Fall",FALSE,FALSE,1,237,1,0,0,0,1,0,0,0,0,0,0,0,1,24.8,19.9,74,25,100.19,FALSE,FALSE,FALSE,FALSE
2016-09-10,9,"Fall",FALSE,FALSE,7,287,7,0,0,0,3,4,0,0,0,0,0,0,6,23.1,16.5,66,11,101.15,TRUE,FALSE,FALSE,FALSE
2016-09-11,10,"Fall",FALSE,FALSE,18,279,15,1,1,1,13,3,0,0,0,0,0,2,15,16.3,7.6,56,40,100.83,FALSE,FALSE,FALSE,FALSE
2016-09-11,11,"Fall",FALSE,FALSE,19,283,11,4,4,2,10,1,3,0,0,0,3,5,15,16.2,7.2,55,20,100.98,FALSE,FALSE,FALSE,FALSE
2016-09-11,12,"Fall",FALSE,FALSE,16,290,13,1,2,1,9,3,2,0,0,1,2,1,14,16.6,7.4,54,27,101.06,FALSE,FALSE,FALSE,FALSE
2016-09-11,13,"Fall",FALSE,FALSE,15,331,7,5,3,3,7,1,2,0,0,1,0,5,14,17.9,8.6,54,25,101.13,FALSE,FALSE,FALSE,FALSE
2016-09-11,14,"Fall",FALSE,FALSE,22,296,12,2,7,5,13,0,1,0,0,0,2,2,19,17.6,7.2,50,29,101.17,FALSE,FALSE,FALSE,FALSE
2016-09-11,15,"Fall",FALSE,FALSE,17,287,10,1,4,4,8,4,1,0,0,1,3,1,14,18.1,7,48,25,101.24,FALSE,FALSE,FALSE,FALSE
2016-09-11,16,"Fall",FALSE,FALSE,9,227,7,0,0,3,6,2,0,0,0,0,3,0,6,18.8,7.7,48,22,101.29,TRUE,FALSE,FALSE,FALSE
2016-09-11,17,"Fall",FALSE,FALSE,13,282,7,2,2,3,7,2,1,0,0,0,2,2,7,18.1,7.6,50,23,101.37,TRUE,FALSE,FALSE,FALSE
2016-09-11,18,"Fall",FALSE,FALSE,6,276,2,1,2,0,2,1,1,0,0,1,1,1,5,17.1,7.5,53,12,101.45,TRUE,FALSE,FALSE,FALSE
2016-09-11,19,"Fall",FALSE,FALSE,3,90,3,0,2,0,0,0,0,0,0,0,0,0,3,15.8,7.9,59,7,101.51,TRUE,FALSE,FALSE,FALSE
2016-09-11,20,"Fall",FALSE,FALSE,1,355,1,0,0,0,1,0,1,0,0,1,0,0,1,16.1,7.4,56,9,101.55,TRUE,FALSE,FALSE,FALSE
