"Time","Content.Espresso","Content.Tea","Content.Milk","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Control.Exams","Control.LowerSales","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
"2016-09-01 10",6,3,6,0,1,0,FALSE,FALSE,20.5,12.6,60,16,100.94,TRUE,FALSE,FALSE,FALSE
"2016-09-01 11",5,1,5,0,0,0,FALSE,FALSE,20.4,12.2,59,24,100.94,TRUE,FALSE,FALSE,FALSE
"2016-09-01 12",2,1,3,1,0,1,FALSE,FALSE,21.5,12.2,55,16,100.92,TRUE,FALSE,FALSE,FALSE
"2016-09-01 13",6,0,3,0,0,1,FALSE,FALSE,21,14,64,29,100.92,FALSE,FALSE,FALSE,FALSE
"2016-09-01 14",9,0,5,1,0,4,FALSE,FALSE,21.1,13.2,60,27,100.93,FALSE,FALSE,FALSE,FALSE
"2016-09-01 15",3,0,2,0,1,1,FALSE,FALSE,21.9,13.1,57,7,100.91,FALSE,FALSE,FALSE,FALSE
"2016-09-01 17",0,3,0,1,1,0,FALSE,FALSE,21.2,13.2,60,14,100.93,TRUE,FALSE,FALSE,FALSE
"2016-09-01 18",1,1,1,0,0,1,FALSE,FALSE,21.5,13.3,59,12,100.97,TRUE,FALSE,FALSE,FALSE
"2016-09-01 19",1,2,1,1,1,1,FALSE,FALSE,20.7,14.5,67,25,101.03,FALSE,FALSE,TRUE,FALSE
"2016-09-01 7",4,0,3,0,0,0,FALSE,FALSE,16.7,11.9,73,20,100.89,TRUE,FALSE,FALSE,FALSE
"2016-09-01 8",7,0,6,0,0,3,FALSE,FALSE,18,12.5,70,19,100.9,TRUE,FALSE,FALSE,FALSE
"2016-09-01 9",18,1,11,0,0,1,FALSE,FALSE,19.2,12.1,63,21,100.91,TRUE,FALSE,FALSE,FALSE
"2016-09-02 10",12,3,8,0,3,6,FALSE,FALSE,18.3,9.5,56,18,101.77,TRUE,FALSE,FALSE,FALSE
"2016-09-02 11",9,1,7,2,0,2,FALSE,FALSE,19.2,9.5,53,11,101.76,TRUE,FALSE,FALSE,FALSE
"2016-09-02 12",3,1,4,1,0,2,FALSE,FALSE,20.1,10.9,55,9,101.74,TRUE,FALSE,FALSE,FALSE
"2016-09-02 13",8,1,5,2,1,1,FALSE,FALSE,19.9,10.4,54,12,101.72,FALSE,FALSE,FALSE,FALSE
"2016-09-02 14",9,1,7,0,1,2,FALSE,FALSE,20.1,10.9,55,9,101.71,FALSE,FALSE,FALSE,FALSE
"2016-09-02 15",0,2,1,0,1,3,FALSE,FALSE,20.8,10.4,51,11,101.71,FALSE,FALSE,FALSE,FALSE
"2016-09-02 16",1,3,2,0,1,1,FALSE,FALSE,20.9,11.1,53,14,101.71,FALSE,FALSE,FALSE,FALSE
"2016-09-02 7",2,0,2,1,0,1,FALSE,FALSE,15.1,9.1,67,10,101.68,TRUE,FALSE,FALSE,FALSE
"2016-09-02 8",6,1,5,0,0,1,FALSE,FALSE,16.2,9.5,64,15,101.73,TRUE,FALSE,FALSE,FALSE
"2016-09-02 9",13,1,14,0,1,0,FALSE,FALSE,17.1,9.4,60,16,101.73,TRUE,FALSE,FALSE,FALSE
"2016-09-03 10",20,1,12,1,0,3,FALSE,FALSE,19,10.4,57,1,102.08,TRUE,FALSE,FALSE,FALSE
"2016-09-03 11",10,4,6,3,0,5,FALSE,FALSE,19.7,11.3,58,6,102.05,TRUE,FALSE,FALSE,FALSE
"2016-09-03 12",18,1,16,0,1,2,FALSE,FALSE,20.4,10.6,53,8,102.04,TRUE,FALSE,FALSE,FALSE
"2016-09-03 13",10,2,9,3,0,0,FALSE,FALSE,21.2,11.1,52,14,102.02,TRUE,FALSE,FALSE,FALSE
"2016-09-03 14",3,2,2,0,0,0,FALSE,FALSE,21.5,12.2,55,3,101.97,TRUE,FALSE,FALSE,FALSE
"2016-09-03 15",6,2,4,2,2,0,FALSE,FALSE,21.8,11.9,53,10,101.92,TRUE,FALSE,FALSE,FALSE
"2016-09-03 16",5,1,2,0,1,2,FALSE,FALSE,21.9,12.6,55,11,101.88,TRUE,FALSE,FALSE,FALSE
