Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Stn Press (kPa),Weather
2017-01-01 0:00,-9,-10.9,86,11,99.96,Snow
2017-01-01 1:00,-8.6,-10.5,86,10,100,Snow
2017-01-01 2:00,-8,-9.9,86,7,100.06,Snow
2017-01-01 3:00,-7.7,-9.7,86,8,100.1,Snow
2017-01-01 4:00,-7.1,-9.1,86,5,100.12,Snow
2017-01-01 5:00,-6.7,-8.5,87,5,100.19,Snow
2017-01-01 6:00,-6.5,-8,89,11,100.41,Snow
2017-01-01 7:00,-2.6,-5.3,82,32,100.6,Blowing Snow
2017-01-01 8:00,-3,-7.2,73,33,100.82,Blowing Snow
2017-01-01 9:00,-2.8,-7,73,31,100.99,Blowing Snow
2017-01-01 10:00,-2.8,-7.4,71,34,101.21,Blowing Snow
2017-01-01 11:00,-3.2,-8.1,69,31,101.33,Blowing Snow
2017-01-01 12:00,-3.4,-8.3,69,24,101.43,Blowing Snow
2017-01-01 13:00,-3.2,-8.3,68,24,101.52,Blowing Snow
2017-01-01 14:00,-3.1,-8.6,66,21,101.68,Blowing Snow
2017-01-01 15:00,-3.5,-9.6,63,27,101.81,Blowing Snow
2017-01-01 16:00,-3.9,-10.2,62,15,101.91,Mainly Clear
2017-01-01 17:00,-4.4,-10.6,62,5,102.01,NA
2017-01-01 18:00,-5.8,-10.3,71,3,102.13,NA
2017-01-01 19:00,-5.5,-9.8,72,5,102.24,Mostly Cloudy
2017-01-01 20:00,-4.6,-9.1,71,3,102.29,NA
2017-01-01 21:00,-3.4,-7.9,71,7,102.32,NA
2017-01-01 22:00,-3.9,-7.7,75,7,102.35,Mainly Clear
2017-01-01 23:00,-4.3,-8.3,74,7,102.39,NA
2017-01-02 0:00,-5.2,-8.5,78,2,102.45,NA
2017-01-02 1:00,-5.5,-8.8,78,3,102.47,Mostly Cloudy
2017-01-02 2:00,-6.4,-8.5,85,1,102.53,NA
2017-01-02 3:00,-10.2,-11.7,89,4,102.62,NA
2017-01-02 4:00,-7.7,-9.5,87,3,102.63,Cloudy
2017-01-02 5:00,-8.5,-9.7,91,5,102.69,NA
2017-01-02 6:00,-7,-8.1,92,3,102.75,NA
2017-01-02 7:00,-6.3,-7.4,92,4,102.79,Mostly Cloudy
2017-01-02 8:00,-5.9,-7,92,2,102.8,NA
2017-01-02 9:00,-4.3,-5.4,92,9,102.86,NA
2017-01-02 10:00,-2.5,-5,83,7,102.9,Mostly Cloudy
2017-01-02 11:00,-0.9,-5.3,72,3,102.86,NA
2017-01-02 12:00,0.5,-5.1,66,5,102.8,NA
2017-01-02 13:00,0.8,-4.8,66,9,102.75,Mainly Clear
2017-01-02 14:00,1.2,-4.5,66,12,102.69,NA
2017-01-02 15:00,-0.4,-4.8,72,15,102.67,NA
2017-01-02 16:00,-1.5,-5.2,76,18,102.69,Clear
2017-01-02 17:00,-3.2,-6,81,17,102.7,NA
2017-01-02 18:00,-3.3,-6.4,79,20,102.65,NA
2017-01-02 19:00,-3.3,-6.4,79,22,102.58,Clear
2017-01-02 20:00,-3.8,-6.6,81,21,102.57,NA
2017-01-02 21:00,-5.2,-7.3,85,17,102.47,NA
2017-01-02 22:00,-6.1,-7.9,87,23,102.39,Clear
2017-01-02 23:00,-6.5,-8,89,21,102.29,NA
2017-01-03 0:00,-6.4,-7.9,89,22,102.27,NA
2017-01-03 1:00,-5.8,-7.3,89,24,102.19,Mostly Cloudy
2017-01-03 2:00,-5.2,-6.9,88,22,102.16,NA
2017-01-03 3:00,-4.8,-6.5,88,23,102.09,NA
2017-01-03 4:00,-4.5,-6.5,86,21,101.99,Cloudy
2017-01-03 5:00,-4.6,-6.8,85,22,101.84,NA
2017-01-03 6:00,-4.4,-6.7,84,21,101.77,NA
2017-01-03 7:00,-4.3,-6.6,84,24,101.68,Cloudy
2017-01-03 8:00,-4.5,-6.5,86,27,101.62,Snow
2017-01-03 9:00,-3.9,-5.3,90,23,101.53,"Freezing Rain,Snow"
2017-01-03 10:00,-3,-4.4,90,17,101.39,Snow
2017-01-03 11:00,-2.2,-3.8,89,23,101.24,Snow
2017-01-03 12:00,-1.5,-2.9,90,25,101.1,Freezing Rain
2017-01-03 13:00,-1.1,-2.2,92,29,100.97,Freezing Rain
2017-01-03 14:00,-0.9,-2,92,31,100.85,Freezing Rain
2017-01-03 15:00,-0.8,-1.8,93,30,100.75,Freezing Rain
2017-01-03 16:00,-0.8,-1.8,93,28,100.65,Freezing Rain
2017-01-03 17:00,-0.3,-1.2,94,26,100.54,Freezing Rain
2017-01-03 18:00,-0.4,-1.3,94,25,100.43,Freezing Drizzle
2017-01-03 19:00,0.1,-0.8,94,27,100.32,Rain
2017-01-03 20:00,0,-0.9,94,28,100.15,Rain
2017-01-03 21:00,0.3,-0.6,94,26,99.96,Rain
2017-01-03 22:00,0.4,-0.6,93,23,99.84,Rain
2017-01-03 23:00,0.3,-0.6,94,26,99.71,"Snow,Fog"
2017-01-04 0:00,0.2,-0.7,94,25,99.52,"Snow,Fog"
2017-01-04 1:00,0,-0.7,95,23,99.38,"Snow,Fog"
2017-01-04 2:00,-0.2,-0.9,95,19,99.33,"Snow,Fog"
2017-01-04 3:00,-0.7,-1.6,94,19,99.22,"Snow,Fog"
2017-01-04 4:00,-1.2,-2,94,22,99.09,"Snow,Fog"
2017-01-04 5:00,-1.6,-2.6,93,18,99,"Snow,Fog"
2017-01-04 6:00,-1.9,-2.9,93,17,98.95,"Snow,Fog"
2017-01-04 7:00,-2.5,-3.6,92,15,98.91,"Snow,Fog"
2017-01-04 8:00,-3,-4,93,17,98.88,"Freezing Drizzle,Fog"
2017-01-04 9:00,-3.2,-4.3,92,19,98.82,"Freezing Drizzle,Snow,Fog"
2017-01-04 10:00,-3.2,-4.5,91,16,98.81,"Snow,Fog"
2017-01-04 11:00,-3,-4.3,91,5,98.78,"Snow,Fog"
2017-01-04 12:00,-2.4,-3.8,90,2,98.73,"Freezing Drizzle,Fog"
2017-01-04 13:00,-1,-1.8,94,10,98.7,"Snow,Fog"
2017-01-04 14:00,0.5,-0.4,94,17,98.68,NA
2017-01-04 15:00,1.6,-0.2,88,18,98.67,NA
2017-01-04 16:00,1.6,-0.8,84,35,98.73,Mostly Cloudy
2017-01-04 17:00,1.8,-2.5,73,54,98.76,NA
2017-01-04 18:00,-0.2,-1.5,91,40,98.88,"Snow,Fog,Blowing Snow"
2017-01-04 19:00,-1.5,-3.5,86,41,98.99,"Snow,Fog,Blowing Snow"
2017-01-04 20:00,-2.3,-4,88,37,99.06,"Snow,Fog,Blowing Snow"
2017-01-04 21:00,-2.8,-7.4,71,29,99.14,NA
2017-01-04 22:00,-4,-9.3,67,27,99.21,Mostly Cloudy
2017-01-04 23:00,-4.7,-9.6,69,39,99.31,NA
2017-01-05 0:00,-4.9,-10.9,63,37,99.36,NA
2017-01-05 1:00,-5.5,-11.3,64,26,99.37,Mostly Cloudy
2017-01-05 2:00,-5.7,-12.5,59,32,99.39,NA
2017-01-05 3:00,-6.3,-12.9,60,35,99.4,NA
2017-01-05 4:00,-6.7,-11.7,68,54,99.41,Blowing Snow
2017-01-05 5:00,-6.5,-12.2,64,53,99.47,Blowing Snow
2017-01-05 6:00,-7,-11.8,69,48,99.63,"Snow Showers,Blowing Snow"
2017-01-05 7:00,-8.8,-12.8,73,40,99.84,"Snow Showers,Blowing Snow"
2017-01-05 8:00,-10.3,-15,69,30,100.01,Blowing Snow
2017-01-05 9:00,-10.5,-15.7,66,35,100.11,Blowing Snow
2017-01-05 10:00,-9.6,-15.6,62,31,100.2,Blowing Snow
2017-01-05 11:00,-8.7,-14.7,62,29,100.22,NA
2017-01-05 12:00,-7.8,-14.1,61,23,100.22,NA
2017-01-05 13:00,-6.8,-14.2,56,35,100.22,Clear
2017-01-05 14:00,-6.7,-14.1,56,30,100.31,NA
2017-01-05 15:00,-6.5,-13.9,56,26,100.34,NA
2017-01-05 16:00,-6.8,-13.1,61,17,100.39,Mostly Cloudy
2017-01-05 17:00,-7.5,-12.8,66,15,100.39,NA
2017-01-05 18:00,-6.6,-11.4,69,16,100.44,NA
2017-01-05 19:00,-6.3,-11.1,69,13,100.45,Mostly Cloudy
2017-01-05 20:00,-5.9,-11.3,66,22,100.49,NA
2017-01-05 21:00,-6.3,-11.5,67,21,100.53,NA
2017-01-05 22:00,-7.4,-12.2,69,20,100.6,Mainly Clear
2017-01-05 23:00,-7.3,-12.8,65,26,100.63,NA
